JD,Magnitude,Uncertainty,Observer
2460350.888316,7.588,0.004,HMB
2460350.88842,7.601,0.004,HMB
2460350.89873,7.852240827218145,0.001,PEX
2460351.29054,7.634240827218145,0.001,PEX
2460351.892569,7.902,0.007,HMB
2460351.89265,7.929,0.007,HMB
2460352.24395,7.775240827218145,0.002,PEX
2460352.24542,8.040240827218145,0.008,PEX
2460352.24694,8.553240827218145,0.002,PEX
2460354.30677,8.613240827218146,0.001,PEX
2460354.32953,8.864168779186125,0.003,YBA
2460354.34209,8.459240827218146,0.000,PEX
2460354.34302,8.433240827218146,0.001,PEX
2460354.34414,8.458240827218146,0.001,PEX
2460354.34513,8.406240827218145,0.000,PEX
2460354.34602,8.433240827218146,0.001,PEX
2460354.86707,8.624786524349567,0.035,LBEC
2460354.893831,8.675,0.007,HMB
2460354.8939,8.667,0.007,HMB
2460355.84677,8.903786524349567,0.043,LBEC
2460356.28377,9.065168779186124,0.026,YBA
2460356.83238,9.134786524349567,0.079,LBEC
2460357.19669,9.061174116077385,0.02,NLX
2460357.28499,9.381168779186124,0.020,YBA
2460357.29681,9.433240827218144,0.001,PEX
2460357.87405,9.425786524349567,0.081,LBEC
2460357.895347,9.458,0.007,HMB
2460357.895417,9.453,0.007,HMB
2460358.34699,9.190240827218146,0.001,PEX
2460358.348,9.167240827218144,0.001,PEX
2460358.87102,9.549786524349566,0.056,LBEC
2460358.896192,9.573,0.008,HMB
2460358.896273,9.582,0.008,HMB
2460359.81504,8.60353435623749,0.003,RFDA
2460359.815568,8.574534356237491,0.002,RFDA
2460359.81602,8.56253435623749,0.001,RFDA
2460359.816468,8.56553435623749,0.002,RFDA
2460359.816919,8.561534356237491,0.001,RFDA
2460359.817379,8.65853435623749,0.002,RFDA
2460359.81783,8.586534356237491,0.001,RFDA
2460359.818282,8.621534356237492,0.002,RFDA
2460359.818727,8.73253435623749,0.002,RFDA
2460359.819181,8.615534356237491,0.002,RFDA
2460359.819634,8.596534356237491,0.002,RFDA
2460359.820086,8.553534356237492,0.002,RFDA
2460359.82054,8.588534356237492,0.001,RFDA
2460359.820995,8.554534356237491,0.002,RFDA
2460359.82145,8.631534356237491,0.002,RFDA
2460359.821912,8.634534356237491,0.002,RFDA
2460359.822367,8.699534356237491,0.001,RFDA
2460359.82283,8.72253435623749,0.001,RFDA
2460359.82328,8.557534356237491,0.002,RFDA
2460359.823732,8.577534356237491,0.002,RFDA
2460359.824192,8.656534356237492,0.001,RFDA
2460359.82465,8.641534356237491,0.002,RFDA
2460359.82511,8.650534356237491,0.002,RFDA
2460359.825564,8.599534356237491,0.002,RFDA
2460359.826017,8.63553435623749,0.001,RFDA
2460359.826468,8.605534356237492,0.002,RFDA
2460359.826918,8.683534356237491,0.002,RFDA
2460359.827365,8.686534356237491,0.002,RFDA
2460359.827812,8.62353435623749,0.002,RFDA
2460359.828267,8.56553435623749,0.001,RFDA
2460359.828725,8.627534356237492,0.002,RFDA
2460359.829179,8.714534356237492,0.001,RFDA
2460359.829635,8.652534356237492,0.001,RFDA
2460359.8301,8.634534356237491,0.002,RFDA
2460359.830552,8.59453435623749,0.002,RFDA
2460359.831009,8.65553435623749,0.002,RFDA
2460359.831466,8.749534356237492,0.002,RFDA
2460359.831922,8.763534356237491,0.002,RFDA
2460359.832372,8.66453435623749,0.002,RFDA
2460359.832833,8.598534356237492,0.002,RFDA
2460359.833292,8.573534356237491,0.002,RFDA
2460359.833747,8.644534356237491,0.001,RFDA
2460359.834199,8.74853435623749,0.002,RFDA
2460359.83465,8.70653435623749,0.002,RFDA
2460359.835111,8.62653435623749,0.002,RFDA
2460359.835562,8.58153435623749,0.002,RFDA
2460359.836015,8.598534356237492,0.001,RFDA
2460359.836535,8.662534356237492,0.002,RFDA
2460359.836992,8.727534356237491,0.003,RFDA
2460359.837442,8.602534356237491,0.002,RFDA
2460359.837901,8.717534356237492,0.002,RFDA
2460359.838362,8.713534356237492,0.002,RFDA
2460359.838818,8.707534356237492,0.002,RFDA
2460359.839262,8.668534356237492,0.002,RFDA
2460359.839714,8.679534356237491,0.002,RFDA
2460359.840169,8.70353435623749,0.002,RFDA
2460359.840617,8.724534356237491,0.002,RFDA
2460359.841066,8.590534356237491,0.003,RFDA
2460359.841523,8.620534356237492,0.003,RFDA
2460359.841983,8.669534356237492,0.002,RFDA
2460359.842444,8.72853435623749,0.002,RFDA
2460359.842899,8.713534356237492,0.002,RFDA
2460359.843355,8.668534356237492,0.002,RFDA
2460359.843819,8.614534356237492,0.002,RFDA
2460359.844272,8.679534356237491,0.002,RFDA
2460359.84472,8.675534356237492,0.002,RFDA
2460359.845172,8.624534356237492,0.002,RFDA
2460359.845627,8.586534356237491,0.003,RFDA
2460359.846081,8.605534356237492,0.002,RFDA
2460359.846539,8.660534356237491,0.002,RFDA
2460359.846991,8.61953435623749,0.002,RFDA
2460359.847451,8.662534356237492,0.002,RFDA
2460359.847907,8.621534356237492,0.003,RFDA
2460359.848367,8.615534356237491,0.003,RFDA
2460359.848829,8.61953435623749,0.002,RFDA
2460359.849276,8.622534356237491,0.003,RFDA
2460359.84973,8.588534356237492,0.002,RFDA
2460359.850186,8.662534356237492,0.002,RFDA
2460359.85064,8.62953435623749,0.002,RFDA
2460359.851094,8.583534356237491,0.002,RFDA
2460359.851555,8.58153435623749,0.003,RFDA
2460359.852013,8.65553435623749,0.003,RFDA
2460359.852479,8.625534356237491,0.003,RFDA
2460359.852926,8.714534356237492,0.002,RFDA
2460359.853385,8.714534356237492,0.003,RFDA
2460359.853837,8.644534356237491,0.002,RFDA
2460359.854288,8.57153435623749,0.002,RFDA
2460359.854747,8.67753435623749,0.002,RFDA
2460359.855209,8.634534356237491,0.002,RFDA
2460359.855672,8.691534356237492,0.002,RFDA
2460359.856126,8.70653435623749,0.002,RFDA
2460359.856585,8.705534356237491,0.002,RFDA
2460359.857046,8.704534356237492,0.002,RFDA
2460359.857578,8.72553435623749,0.002,RFDA
2460359.858037,8.756534356237491,0.002,RFDA
2460359.858486,8.70353435623749,0.002,RFDA
2460359.858936,8.556534356237492,0.003,RFDA
2460359.859393,8.775534356237491,0.002,RFDA
2460359.859852,8.813534356237492,0.002,RFDA
2460359.860311,8.59753435623749,0.003,RFDA
2460359.860769,8.60753435623749,0.002,RFDA
2460359.86122,8.612534356237491,0.002,RFDA
2460359.861671,8.60753435623749,0.002,RFDA
2460359.862128,8.593534356237491,0.002,RFDA
2460359.862583,8.60053435623749,0.002,RFDA
2460359.863047,8.583534356237491,0.002,RFDA
2460359.863502,8.605534356237492,0.002,RFDA
2460359.863954,8.558534356237491,0.003,RFDA
2460359.864407,8.583534356237491,0.002,RFDA
2460359.864867,8.55553435623749,0.003,RFDA
2460359.865327,8.561534356237491,0.002,RFDA
2460359.865787,8.636534356237492,0.002,RFDA
2460359.866249,8.561534356237491,0.002,RFDA
2460359.866703,8.566534356237492,0.003,RFDA
2460359.867153,8.651534356237491,0.002,RFDA
2460359.867604,8.570534356237491,0.003,RFDA
2460359.86805,8.57553435623749,0.002,RFDA
2460359.868502,8.609534356237491,0.002,RFDA
2460359.868961,8.56553435623749,0.002,RFDA
2460359.869418,8.601534356237492,0.002,RFDA
2460359.869876,8.61953435623749,0.002,RFDA
2460359.870336,8.634534356237491,0.002,RFDA
2460359.870791,8.63253435623749,0.003,RFDA
2460359.87104,9.912786524349567,0.109,LBEC
2460359.871247,8.596534356237491,0.002,RFDA
2460359.871697,8.646534356237492,0.002,RFDA
